hypothesis,pool_n,pool_p25,pool_p50,pool_p75,pool_mean,pool_sd,y2019_p50,y2020_p50,y2021_p50,y2023_p50,y2019_mean,y2020_mean,y2021_mean,y2023_mean
H1_FJSEmpS_rate_avg,55824,2.8106866537717603,3.863276612584092,5.230442726766488,8.23853765137202,80.4520605793042,3.557523846603076,4.3560970018401,3.098966668548783,3.64794545847621,4.667166886967771,5.344402652665653,3.942000374403831,4.253132817067125
H2_FJSEmpS_rate_sum,55824,11.226433929437267,15.437052986408345,20.9009009009009,32.81917950100012,312.0473969913417,14.230095386412303,17.4243880073604,12.395866674195132,14.59178183390484,18.668667547871085,21.37761061066261,15.768001497615325,17.0125312682685
H3_FJSEmpS_ratio_of_sums,55842,2.7181406342328147,3.7037037037037037,4.94824016563147,6.77940978355461,72.0552775353299,3.40826686004351,4.174664107485604,2.9545454545454546,3.4482758620689653,4.001290926814115,4.602253367167875,3.4784176338038963,3.8463567112488852
H4_SepBegR_avg,19284,0.0605,0.07625000000000001,0.09625,0.08464955724668569,0.045771192677532706,0.0735,0.08666666666666667,0.064,0.07525,0.08127718349536658,0.0949829521685059,0.07152683069263667,0.08156625367956741
H5_HirAEndReplr_avg,19279,0.029249999999999998,0.03874999999999999,0.0485,0.03971243353337429,0.01576964516437406,0.039,0.03475,0.0345,0.044250000000000005,0.04101464728188763,0.03608597446731211,0.03531191033226426,0.04502851867980375
H6_TurnOvrS_avg,19266,0.05,0.061,0.0755,0.06735517144991514,0.03289870709646941,0.057999999999999996,0.05925,0.057499999999999996,0.06225000000000001,0.061810659932206864,0.06493793476345269,0.06418231806604584,0.06747224441348078
H7_SepEmp_rate_avg,19281,8.133910997824609,10.700084961767205,13.803418803418804,11.90336680127669,6.737542853724935,10.428737243565353,11.367562617562617,9.800712137481497,10.630170553406973,11.331526887083287,13.075560836982305,10.991098282427345,11.442262112689749
H8_avgFJS_over_EmpEnd_q4,55842,2.457002457002457,3.2706766917293235,4.248366013071895,6.216712218397785,56.02239837344393,3.0405405405405403,3.6,2.6854219948849103,3.0898876404494384,3.5766076049318896,3.905364599240933,3.2411550749617457,3.496559574060775
H9_FJSEmpEnd_rate_avg,55837,2.6400508638077698,3.619980493088967,4.907457322551663,7.1379895132639595,65.83789961995632,3.3138914624217413,4.121841910753512,2.848101265822785,3.352690318482896,4.315534796427995,5.080992389940332,3.5833961672972694,3.9032571529265314
H14_avgFJS_over_sumEmpTotal4q,55842,0.5749268033005057,0.7653061224489796,0.9947643979057592,0.8810836393407258,0.8506815290201921,0.7182500816193275,0.8654797230464887,0.6279620853080569,0.7220921155347385,0.7881271399172204,0.9261047504536591,0.6870793668101912,0.7717558926530069
H10_FJSEmp_pooled_quarter,224720,0.0,0.7936507936507936,5.573248407643312,3.6997483843938426,6.3544545042777605,0.7005253940455342,2.2801302931596092,0.6211180124223602,0.76103500761035,3.3478758187310307,4.498185056673411,2.9819144206640225,3.466537457577798
H11_FJEmpTotal_pooled_quarter,224945,0.0,0.7352941176470589,4.440789473684211,3.504250451209862,6.291241945256286,0.6802721088435374,2.150537634408602,0.7109004739336493,0.6451612903225806,3.1709244313806058,4.8552186491541685,2.7918611228395447,3.05894760208369
H12_FJSEmpEnd_pooled_quarter,224718,0.0,1.083815028901734,6.756756756756757,137.97206867541354,2065.0164800204884,0.9433962264150944,2.681992337164751,0.6600660066006601,0.91324200913242,14.997001537584541,28.413822692688306,4.624731361083039,6.980320839006838
H13_FJSEmpS_pooled_quarter,224682,0.0,1.1494252873563218,7.246376811594203,158.9871692734402,2333.987749284112,1.0067114093959733,2.7624309392265194,0.7407407407407407,0.963855421686747,19.467946302038325,28.331546797323952,5.04886182125251,7.472023287818933
