label,n_obs,pooled_median,pooled_mean,total_3state_k,total_2019_k,median_2019,total_2020_k,median_2020,total_2021_k,median_2021,total_2023_k,median_2023,status
"H1: NAICS 6111, default (baseline)",1093.0,2.9797979797979797,3.6871704649899497,124.02075,30.038,3.0334728033472804,39.1065,3.5168195718654434,22.858,2.6056338028169015,32.01825,2.9591836734693877,
"H2: NAICS 6111, ownercode=A05",280.0,3.6647314949201744,4.453221307652795,11.46275,2.49125,3.654970760233918,3.142,4.25764192139738,2.54975,3.543307086614173,3.27975,4.310344827586207,
H3: NAICS 611110 (6-digit explicit),,,,,,,,,,,,,empty
"H4: NAICS 611 (3-digit, all educ svc)",1252.0,3.125,3.7772668200802486,199.0285,47.22275,3.1287605294825513,57.6095,3.638253638253638,43.765,2.6785714285714284,50.43125,3.103448275862069,
"H5: NAICS 61 (2-digit, educ services sector)",1252.0,3.125,3.7772668200802486,199.0285,47.22275,3.1287605294825513,57.6095,3.638253638253638,43.765,2.6785714285714284,50.43125,3.103448275862069,
H6: NAICS 6111 + firmage=0 + firmsize=0,1093.0,2.9797979797979797,3.6871704649899497,124.02075,30.038,3.0334728033472804,39.1065,3.5168195718654434,22.858,2.6056338028169015,32.01825,2.9591836734693877,
H7: NAICS 6111 + ind_level=4,1093.0,2.9797979797979797,3.6871704649899497,124.02075,30.038,3.0334728033472804,39.1065,3.5168195718654434,22.858,2.6056338028169015,32.01825,2.9591836734693877,
